rank,smiles,cns_mpo_score,qed,novel_vs_training,mol_weight,logp,tpsa,hbd,hba,lipinski_pass
29,Cc1ccc2c(c1)C(=O)C(=O)N2C(=O)c1ccccc1,4.818,0.587,False,265.27,2.36,54.45,0,3,True
30,CN(C)CCCN1C(=O)CSC1c1ccccn1.Cl,4.807,0.834,False,301.84,2.03,36.44,0,4,True
31,C#CCN(CCc1cccc(OC(=O)N(C)C)c1)N(C)C,4.801,0.59,True,289.38,1.7,36.02,0,4,True
32,CCOC(=O)C1=C(C)OP(=O)(OC)CCC1,4.763,0.567,True,248.21,2.47,61.83,0,5,True
33,COc1cc2c(cc1OC)=C(C(=O)CCc1cc[n+](C)cc1)C=2.[Br-],4.754,0.52,True,390.28,-2.32,39.41,0,3,True
34,CC(C)n1cc(C(=O)C(F)F)cn1,4.745,0.679,False,188.18,1.91,34.89,0,2,True
35,COc1ccc2c(c1OC)C(=O)C(C)C2,4.737,0.743,False,206.24,2.08,35.53,0,3,True
36,C#CCOC[n+]1ccn(C)c1/C=N/O.[Cl-],4.714,0.147,False,229.67,-3.27,50.63,1,3,True
37,CNC(=O)Oc1ccc2c(c1)[C@]1(C)CCN(C)[C@@H]1N2C,4.714,0.848,False,275.35,1.77,44.81,1,4,True
38,COc1cc2c(cc1OC)[C@@H]1[C@H](O)[C@@H](OC)C=C3CCN(C2)[C@H]31,4.714,0.86,False,317.39,1.69,51.16,1,5,True
39,C[N+]1(C)CCO[C@@](O)(c2ccc(C#N)cc2)C1,4.714,0.73,False,233.29,0.81,53.25,1,3,True
40,CC(=O)N(C)[C@H]1CCc2ccc(O)cc2C1,4.714,0.781,True,219.28,1.73,40.54,1,2,True
41,CC(=O)N1CCN(c2nccc(NCc3ccccc3)n2)CC1,4.714,0.932,False,311.39,1.76,61.36,1,5,True
42,CCC(C)OC[n+]1ccn(C)c1/C=N/O.[Cl-],4.714,0.281,True,247.73,-2.1,50.63,1,3,True
43,C#CCCOC[n+]1ccn(C)c1/C=N/O.[Cl-],4.714,0.151,False,243.69,-2.88,50.63,1,3,True
44,CN(C)CCC(=O)Nc1ccc2nc3n(c(=O)c2c1)CCC3,4.714,0.922,True,300.36,1.23,67.23,1,4,True
45,CNC(=O)Oc1ccc2c(c1)[C@]1(C)CCN(C)C1C2,4.714,0.839,True,260.34,1.92,41.57,1,3,True
46,CC1(C)COC(=O)c2c(O)cccc21,4.714,0.638,True,192.21,1.84,46.53,1,3,True
47,COc1ccc(C(C#N)N2CCOCC2)cc1O,4.714,0.873,False,248.28,1.3,65.72,1,5,True
48,CNC(=O)Oc1ccc2c(c1)[C@]1(C)CCO[C@@H]1N2C,4.714,0.839,False,262.31,1.86,50.8,1,4,True
49,COc1cc(C(C#N)N2CCCC2)c(O)c(C#N)c1OC,4.714,0.91,True,287.32,1.94,89.51,1,6,True
50,COc1ccc2c(c1)CCC(NC(=O)N(C)C)C2,4.714,0.867,False,248.33,1.82,41.57,1,2,True
51,COc1ccc2c3c1O[C@H]1C[C@H](O)C=C[C@@]31CCN(C)C2,4.714,0.801,True,287.36,1.85,41.93,1,4,True
52,C[N+](C)(C)CCS/C(=N\O)C(=O)c1ccc(F)cc1.[Cl-],4.714,0.194,False,320.82,-0.76,49.66,1,4,True
53,CNC(=O)Oc1ccc2c(c1)[C@@]1(C)CCN(C)[C@@H]1N2C,4.714,0.848,False,275.35,1.77,44.81,1,4,True
54,COc1c2c(cc3c1OCO3)[C@]13C=C[C@H](OC)C[C@@H]1[N@](C2)C[C@H]3O,4.714,0.822,False,331.37,1.2,60.39,1,6,True
55,CC(=O)Nc1ccc2c(c1)C(=O)C(=O)N2C,4.714,0.709,True,218.21,0.8,66.48,1,3,True
56,C#CCNCCc1cccc(OC(=O)N(C)C)c1,4.714,0.632,False,246.31,1.51,41.57,1,3,True
57,COc1ccc2c3c1O[C@H]1C[C@@H](O)C=C[C@@]31CCN(C)C2,4.714,0.801,False,287.36,1.85,41.93,1,4,True
58,Cl.O/N=C/C1=NCCN1Cc1ccccc1,4.714,0.497,False,239.71,1.78,48.19,1,4,True
59,CNC(=O)Oc1ccc2c(c1)[C@]1(C)CCOC1N2C,4.714,0.839,False,262.31,1.86,50.8,1,4,True
60,COc1cc2oc(=O)ccc2cc1O,4.714,0.695,False,192.17,1.51,59.67,1,4,True
61,CNC(=O)Oc1ccc2c(c1)[C@]1(C)CCN(C)[C@@H]1C2,4.714,0.839,True,260.34,1.92,41.57,1,3,True
62,COC(=O)c1cc(I)c(N)cc1C.[Cl-],4.714,0.408,True,326.54,-1.03,52.32,1,3,True
63,CCCCCOC[n+]1ccn(C)c1/C=N/O.[Cl-],4.714,0.209,True,261.75,-1.71,50.63,1,3,True
64,COc1ccc2oc(=O)ccc2c1O,4.714,0.695,True,192.17,1.51,59.67,1,4,True
65,COC(=O)c1cc2c(N)c3c(nc2nc1C)CCC3,4.714,0.788,False,257.29,1.8,78.1,1,5,True
66,Nc1c2c(nc3ccccc13)C(=O)C2,4.714,0.675,True,184.2,1.56,55.98,1,3,True
67,Nc1ccccc1[N+](=O)[O-],4.714,0.36,True,138.13,1.18,69.16,1,3,True
68,CCCCCCOC[n+]1ccn(C)c1/C=N/O.[Cl-],4.714,0.21,False,275.78,-1.32,50.63,1,3,True
69,COc1cc2c(cc1O)C(=O)C(C)C2,4.714,0.737,False,192.21,1.78,46.53,1,3,True
70,C#CCCCOC[n+]1ccn(C)c1/C=N/O.[Cl-],4.714,0.153,False,257.72,-2.49,50.63,1,3,True
71,CN(C)C(=O)n1nc(-c2ccc(Cl)cc2)nc1N,4.714,0.851,True,265.7,1.71,77.04,1,4,True
72,O=C1Nc2ccccc2S1(=O)=O,4.714,0.652,True,183.19,1.01,63.24,1,3,True
73,CC(=O)c1cc2c(OC(=O)N(C)C)cccc2[n+](C)c1.[I-],4.713,0.367,True,400.22,-1.07,50.49,0,3,True
74,CC[N+](C)(CC)CCS/C(=N\O)C(=O)c1cccc(OC)c1.[Cl-],4.708,0.175,True,360.91,-0.11,58.89,1,5,True
75,O=c1c(=O)c2ccccc12,4.707,0.487,True,132.12,0.44,34.14,0,2,True
76,CC(=O)Nc1ccc2c(c1)C(=O)C(=O)N2C(=O)c1ccccc1,4.707,0.679,True,308.29,2.01,83.55,1,4,True
77,O=c1c2cc(OCCCN3CCCCC3)ccc2nc2n1CCC2,4.701,0.792,False,327.43,2.6,47.36,0,4,True
78,CCN(CC)C(=O)/C=C/c1ccc(OC(=O)N(C)C)cc1,4.686,0.783,True,290.36,2.63,49.85,0,3,True
79,CC[N+](C)(CC)CCS/C(=N\O)C(=O)c1ccc(Cl)cc1.[Cl-],4.676,0.192,False,365.33,0.53,49.66,1,4,True
80,CN(C)C(=O)Oc1cccc2c1CCCC2N,4.673,0.809,True,234.3,2.08,55.56,1,3,True
81,C#CCN(C)Cc1ccc2ccc(=O)oc2c1,4.673,0.592,True,227.26,1.86,33.45,0,3,True
82,Nc1c2c(nc3ncccc13)CCCC2,4.669,0.706,False,199.26,2.09,51.8,1,3,True
83,CN(C)C(=O)Oc1cccc2c1CCCN2,4.662,0.788,True,220.27,2.11,41.57,1,3,True
84,CN(C)C(=O)Oc1ccc2c(c1)C(N)CC2.Cl,4.657,0.837,False,256.73,2.11,55.56,1,3,True
85,CN(C)C(=O)Oc1cccc2c1CCC2N.Cl,4.657,0.837,False,256.73,2.11,55.56,1,3,True
86,COc1ccc(C(=O)Cc2cnc(C(=O)NCCN3CCCC3)cn2)cc1,4.654,0.715,True,368.44,1.74,84.42,1,6,True
87,Nc1c2c(nc3c1CCC3)CCCC2,4.644,0.676,False,188.27,2.03,38.91,1,2,True
88,CCOC(=O)/C(=N\Nc1ccccc1)C(=O)C(F)(F)F,4.64,0.39,False,288.23,2.15,67.76,1,5,True
89,CC(C)N1CCC(CN2CCN(C)C3(C(=O)Nc4ccccc43)C2=O)CC1,4.639,0.824,True,370.5,1.73,55.89,1,4,True
90,CCN(CC)CCCN1C(=O)CSC1c1ccccc1/C=N/O.[Cl-],4.636,0.391,True,370.93,-0.2,56.14,1,5,True
91,CCNC(=O)Oc1ccc2c(c1)[C@]1(C)CCN(C)[C@@H]1N2C,4.632,0.906,False,289.38,2.16,44.81,1,4,True
92,CNC(=O)Oc1cccc([N+](C)(C)C)c1,4.631,0.751,True,209.27,1.6,38.33,1,2,True
93,COc1cc(O)ccc1-c1nnc(N2CCN(c3ccccn3)CC2)o1,4.628,0.763,True,353.38,2.17,87.75,1,8,True
94,CNC(=O)Oc1cccc2c1CCCCN2C,4.626,0.809,True,234.3,2.18,41.57,1,3,True
95,Nc1c2c(cc3c1ccn3S(=O)(=O)c1ccccc1)OCO2,4.62,0.733,True,316.34,2.19,83.55,1,5,True
96,CC1(C)CNC2=C([N+](=O)[O-])C3(C(=O)c4ccccc4C3=O)C2C1,4.619,0.488,True,312.33,2.19,89.31,1,5,True
97,COc1cc(C(C#N)N2CCCCC2)cc(OC)c1OC,4.619,0.834,False,290.36,2.76,54.72,0,5,True
98,CNC(=O)Oc1ccc2c(c1)[C@]1(C)CCN(C)C1N2C.Cl,4.616,0.863,True,311.81,2.2,44.81,1,4,True
99,CNC(=O)Oc1ccc2c(c1)[C@]1(C)CCN(C)[C@@H]1N2C.Cl,4.616,0.863,True,311.81,2.2,44.81,1,4,True
100,Cc1cc(-c2ccccc2)nnc1NCCN1CCOCC1,4.616,0.917,False,298.39,2.2,50.28,1,5,True
