cns_rank,smiles,cns_mpo_score,d_clogp,d_clogd,d_mw,d_tpsa,d_hbd,clogp,tpsa,qed,mol_weight,novel_vs_training
24,O=c1c2ccccc2[se]n1-c1ccc(CN2CCCC2)nc1,4.887,1.0,0.98,1.0,0.91,1.0,2.04,38.13,0.673,358.3,True
25,CN1CC2C(=O)N(c3ccc(F)cc3)C(=O)C2C12C(=O)c1ccccc1C2=O,4.869,1.0,1.0,0.87,1.0,1.0,1.69,74.76,0.558,378.36,False
26,O=C1CCN(Cc2ccccc2)C/C1=C\c1cncnc1,4.832,1.0,0.83,1.0,1.0,1.0,2.33,46.09,0.809,279.34,True
27,CN(C)Cc1ccc(C(=O)N2Cc3cc(C#N)ccc3CC2=O)cc1,4.828,1.0,0.83,1.0,1.0,1.0,2.34,64.41,0.809,333.39,True
28,COc1ccc(C(C#N)N2CCCC2)cc1OC,4.818,1.0,0.82,1.0,1.0,1.0,2.36,45.49,0.818,246.31,False
29,Cc1ccc2c(c1)C(=O)C(=O)N2C(=O)c1ccccc1,4.818,1.0,0.82,1.0,1.0,1.0,2.36,54.45,0.587,265.27,False
30,CN(C)CCCN1C(=O)CSC1c1ccccn1.Cl,4.807,1.0,0.99,1.0,0.82,1.0,2.03,36.44,0.834,301.84,False
31,C#CCN(CCc1cccc(OC(=O)N(C)C)c1)N(C)C,4.801,1.0,1.0,1.0,0.8,1.0,1.7,36.02,0.59,289.38,True
32,CCOC(=O)C1=C(C)OP(=O)(OC)CCC1,4.763,1.0,0.76,1.0,1.0,1.0,2.47,61.83,0.567,248.21,True
33,COc1cc2c(cc1OC)=C(C(=O)CCc1cc[n+](C)cc1)C=2.[Br-],4.754,1.0,1.0,0.78,0.97,1.0,-2.32,39.41,0.52,390.28,True
34,CC(C)n1cc(C(=O)C(F)F)cn1,4.745,1.0,1.0,1.0,0.74,1.0,1.91,34.89,0.679,188.18,False
35,COc1ccc2c(c1OC)C(=O)C(C)C2,4.737,1.0,0.96,1.0,0.78,1.0,2.08,35.53,0.743,206.24,False
36,C#CCOC[n+]1ccn(C)c1/C=N/O.[Cl-],4.714,1.0,1.0,1.0,1.0,0.71,-3.27,50.63,0.147,229.67,False
37,CNC(=O)Oc1ccc2c(c1)[C@]1(C)CCN(C)[C@@H]1N2C,4.714,1.0,1.0,1.0,1.0,0.71,1.77,44.81,0.848,275.35,False
38,COc1cc2c(cc1OC)[C@@H]1[C@H](O)[C@@H](OC)C=C3CCN(C2)[C@H]31,4.714,1.0,1.0,1.0,1.0,0.71,1.69,51.16,0.86,317.39,False
39,C[N+]1(C)CCO[C@@](O)(c2ccc(C#N)cc2)C1,4.714,1.0,1.0,1.0,1.0,0.71,0.81,53.25,0.73,233.29,False
40,CC(=O)N(C)[C@H]1CCc2ccc(O)cc2C1,4.714,1.0,1.0,1.0,1.0,0.71,1.73,40.54,0.781,219.28,True
41,CC(=O)N1CCN(c2nccc(NCc3ccccc3)n2)CC1,4.714,1.0,1.0,1.0,1.0,0.71,1.76,61.36,0.932,311.39,False
42,CCC(C)OC[n+]1ccn(C)c1/C=N/O.[Cl-],4.714,1.0,1.0,1.0,1.0,0.71,-2.1,50.63,0.281,247.73,True
43,C#CCCOC[n+]1ccn(C)c1/C=N/O.[Cl-],4.714,1.0,1.0,1.0,1.0,0.71,-2.88,50.63,0.151,243.69,False
44,CN(C)CCC(=O)Nc1ccc2nc3n(c(=O)c2c1)CCC3,4.714,1.0,1.0,1.0,1.0,0.71,1.23,67.23,0.922,300.36,True
45,CNC(=O)Oc1ccc2c(c1)[C@]1(C)CCN(C)C1C2,4.714,1.0,1.0,1.0,1.0,0.71,1.92,41.57,0.839,260.34,True
46,CC1(C)COC(=O)c2c(O)cccc21,4.714,1.0,1.0,1.0,1.0,0.71,1.84,46.53,0.638,192.21,True
47,COc1ccc(C(C#N)N2CCOCC2)cc1O,4.714,1.0,1.0,1.0,1.0,0.71,1.3,65.72,0.873,248.28,False
48,CNC(=O)Oc1ccc2c(c1)[C@]1(C)CCO[C@@H]1N2C,4.714,1.0,1.0,1.0,1.0,0.71,1.86,50.8,0.839,262.31,False
49,COc1cc(C(C#N)N2CCCC2)c(O)c(C#N)c1OC,4.714,1.0,1.0,1.0,1.0,0.71,1.94,89.51,0.91,287.32,True
50,COc1ccc2c(c1)CCC(NC(=O)N(C)C)C2,4.714,1.0,1.0,1.0,1.0,0.71,1.82,41.57,0.867,248.33,False
51,COc1ccc2c3c1O[C@H]1C[C@H](O)C=C[C@@]31CCN(C)C2,4.714,1.0,1.0,1.0,1.0,0.71,1.85,41.93,0.801,287.36,True
52,C[N+](C)(C)CCS/C(=N\O)C(=O)c1ccc(F)cc1.[Cl-],4.714,1.0,1.0,1.0,1.0,0.71,-0.76,49.66,0.194,320.82,False
53,CNC(=O)Oc1ccc2c(c1)[C@@]1(C)CCN(C)[C@@H]1N2C,4.714,1.0,1.0,1.0,1.0,0.71,1.77,44.81,0.848,275.35,False
54,COc1c2c(cc3c1OCO3)[C@]13C=C[C@H](OC)C[C@@H]1[N@](C2)C[C@H]3O,4.714,1.0,1.0,1.0,1.0,0.71,1.2,60.39,0.822,331.37,False
55,CC(=O)Nc1ccc2c(c1)C(=O)C(=O)N2C,4.714,1.0,1.0,1.0,1.0,0.71,0.8,66.48,0.709,218.21,True
56,C#CCNCCc1cccc(OC(=O)N(C)C)c1,4.714,1.0,1.0,1.0,1.0,0.71,1.51,41.57,0.632,246.31,False
57,COc1ccc2c3c1O[C@H]1C[C@@H](O)C=C[C@@]31CCN(C)C2,4.714,1.0,1.0,1.0,1.0,0.71,1.85,41.93,0.801,287.36,False
58,Cl.O/N=C/C1=NCCN1Cc1ccccc1,4.714,1.0,1.0,1.0,1.0,0.71,1.78,48.19,0.497,239.71,False
59,CNC(=O)Oc1ccc2c(c1)[C@]1(C)CCOC1N2C,4.714,1.0,1.0,1.0,1.0,0.71,1.86,50.8,0.839,262.31,False
60,COc1cc2oc(=O)ccc2cc1O,4.714,1.0,1.0,1.0,1.0,0.71,1.51,59.67,0.695,192.17,False
61,CNC(=O)Oc1ccc2c(c1)[C@]1(C)CCN(C)[C@@H]1C2,4.714,1.0,1.0,1.0,1.0,0.71,1.92,41.57,0.839,260.34,True
62,COC(=O)c1cc(I)c(N)cc1C.[Cl-],4.714,1.0,1.0,1.0,1.0,0.71,-1.03,52.32,0.408,326.54,True
63,CCCCCOC[n+]1ccn(C)c1/C=N/O.[Cl-],4.714,1.0,1.0,1.0,1.0,0.71,-1.71,50.63,0.209,261.75,True
64,COc1ccc2oc(=O)ccc2c1O,4.714,1.0,1.0,1.0,1.0,0.71,1.51,59.67,0.695,192.17,True
65,COC(=O)c1cc2c(N)c3c(nc2nc1C)CCC3,4.714,1.0,1.0,1.0,1.0,0.71,1.8,78.1,0.788,257.29,False
66,Nc1c2c(nc3ccccc13)C(=O)C2,4.714,1.0,1.0,1.0,1.0,0.71,1.56,55.98,0.675,184.2,True
67,Nc1ccccc1[N+](=O)[O-],4.714,1.0,1.0,1.0,1.0,0.71,1.18,69.16,0.36,138.13,True
68,CCCCCCOC[n+]1ccn(C)c1/C=N/O.[Cl-],4.714,1.0,1.0,1.0,1.0,0.71,-1.32,50.63,0.21,275.78,False
69,COc1cc2c(cc1O)C(=O)C(C)C2,4.714,1.0,1.0,1.0,1.0,0.71,1.78,46.53,0.737,192.21,False
70,C#CCCCOC[n+]1ccn(C)c1/C=N/O.[Cl-],4.714,1.0,1.0,1.0,1.0,0.71,-2.49,50.63,0.153,257.72,False
71,CN(C)C(=O)n1nc(-c2ccc(Cl)cc2)nc1N,4.714,1.0,1.0,1.0,1.0,0.71,1.71,77.04,0.851,265.7,True
72,O=C1Nc2ccccc2S1(=O)=O,4.714,1.0,1.0,1.0,1.0,0.71,1.01,63.24,0.652,183.19,True
73,CC(=O)c1cc2c(OC(=O)N(C)C)cccc2[n+](C)c1.[I-],4.713,1.0,1.0,0.71,1.0,1.0,-1.07,50.49,0.367,400.22,True
74,CC[N+](C)(CC)CCS/C(=N\O)C(=O)c1cccc(OC)c1.[Cl-],4.708,1.0,1.0,0.99,1.0,0.71,-0.11,58.89,0.175,360.91,True
75,O=c1c(=O)c2ccccc12,4.707,1.0,1.0,1.0,0.71,1.0,0.44,34.14,0.487,132.12,True
76,CC(=O)Nc1ccc2c(c1)C(=O)C(=O)N2C(=O)c1ccccc1,4.707,1.0,0.99,1.0,1.0,0.71,2.01,83.55,0.679,308.29,True
77,O=c1c2cc(OCCCN3CCCCC3)ccc2nc2n1CCC2,4.701,1.0,0.7,1.0,1.0,1.0,2.6,47.36,0.792,327.43,False
78,CCN(CC)C(=O)/C=C/c1ccc(OC(=O)N(C)C)cc1,4.686,1.0,0.69,1.0,1.0,1.0,2.63,49.85,0.783,290.36,True
79,CC[N+](C)(CC)CCS/C(=N\O)C(=O)c1ccc(Cl)cc1.[Cl-],4.676,1.0,1.0,0.96,1.0,0.71,0.53,49.66,0.192,365.33,False
80,CN(C)C(=O)Oc1cccc2c1CCCC2N,4.673,1.0,0.96,1.0,1.0,0.71,2.08,55.56,0.809,234.3,True
81,C#CCN(C)Cc1ccc2ccc(=O)oc2c1,4.673,1.0,1.0,1.0,0.67,1.0,1.86,33.45,0.592,227.26,True
82,Nc1c2c(nc3ncccc13)CCCC2,4.669,1.0,0.95,1.0,1.0,0.71,2.09,51.8,0.706,199.26,False
83,CN(C)C(=O)Oc1cccc2c1CCCN2,4.662,1.0,0.95,1.0,1.0,0.71,2.11,41.57,0.788,220.27,True
84,CN(C)C(=O)Oc1ccc2c(c1)C(N)CC2.Cl,4.657,1.0,0.94,1.0,1.0,0.71,2.11,55.56,0.837,256.73,False
85,CN(C)C(=O)Oc1cccc2c1CCC2N.Cl,4.657,1.0,0.94,1.0,1.0,0.71,2.11,55.56,0.837,256.73,False
86,COc1ccc(C(=O)Cc2cnc(C(=O)NCCN3CCCC3)cn2)cc1,4.654,1.0,1.0,0.94,1.0,0.71,1.74,84.42,0.715,368.44,True
87,Nc1c2c(nc3c1CCC3)CCCC2,4.644,1.0,0.98,1.0,0.95,0.71,2.03,38.91,0.676,188.27,False
88,CCOC(=O)/C(=N\Nc1ccccc1)C(=O)C(F)(F)F,4.64,1.0,0.93,1.0,1.0,0.71,2.15,67.76,0.39,288.23,False
89,CC(C)N1CCC(CN2CCN(C)C3(C(=O)Nc4ccccc43)C2=O)CC1,4.639,1.0,1.0,0.93,1.0,0.71,1.73,55.89,0.824,370.5,True
90,CCN(CC)CCCN1C(=O)CSC1c1ccccc1/C=N/O.[Cl-],4.636,1.0,1.0,0.92,1.0,0.71,-0.2,56.14,0.391,370.93,True
91,CCNC(=O)Oc1ccc2c(c1)[C@]1(C)CCN(C)[C@@H]1N2C,4.632,1.0,0.92,1.0,1.0,0.71,2.16,44.81,0.906,289.38,False
92,CNC(=O)Oc1cccc([N+](C)(C)C)c1,4.631,1.0,1.0,1.0,0.92,0.71,1.6,38.33,0.751,209.27,True
93,COc1cc(O)ccc1-c1nnc(N2CCN(c3ccccn3)CC2)o1,4.628,1.0,0.91,1.0,1.0,0.71,2.17,87.75,0.763,353.38,True
94,CNC(=O)Oc1cccc2c1CCCCN2C,4.626,1.0,0.91,1.0,1.0,0.71,2.18,41.57,0.809,234.3,True
95,Nc1c2c(cc3c1ccn3S(=O)(=O)c1ccccc1)OCO2,4.62,1.0,0.91,1.0,1.0,0.71,2.19,83.55,0.733,316.34,True
96,CC1(C)CNC2=C([N+](=O)[O-])C3(C(=O)c4ccccc4C3=O)C2C1,4.619,1.0,0.91,1.0,1.0,0.71,2.19,89.31,0.488,312.33,True
97,COc1cc(C(C#N)N2CCCCC2)cc(OC)c1OC,4.619,1.0,0.62,1.0,1.0,1.0,2.76,54.72,0.834,290.36,False
98,CNC(=O)Oc1ccc2c(c1)[C@]1(C)CCN(C)C1N2C.Cl,4.616,1.0,0.9,1.0,1.0,0.71,2.2,44.81,0.863,311.81,True
99,CNC(=O)Oc1ccc2c(c1)[C@]1(C)CCN(C)[C@@H]1N2C.Cl,4.616,1.0,0.9,1.0,1.0,0.71,2.2,44.81,0.863,311.81,True
100,Cc1cc(-c2ccccc2)nnc1NCCN1CCOCC1,4.616,1.0,0.9,1.0,1.0,0.71,2.2,50.28,0.917,298.39,False
